,date,debate_name,debate_section,speaker,speech,speaking_time_seconds,candidate,bow_representation
15,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg, tell you what the Russians want. They  have a political party. They want chaos and chaos is what is coming our way. I mean look if you think the last four years has been chaotic divisive toxic exhausting imagine spending the better part of 2020 with Bernie Sanders versus Donald Trump. Think about what that will be like for this country. And meanwhile folks at home from South Carolina to South Bend are trying to figure out what any of this means for us. Because  right that there is a progressive majority an American majority that wants to see real change wants to see wages go up and go up faster than the cost of health and saving for retirement. But also  the majority of the American people who I think right now just to be able to turn on the TV see their President and actually feel their blood pressure go down a little bit instead of up through the roof. We have an opportunity to set a different tone.,62.0,True,"[('russian', 1), ('they', 2), ('party', 1), ('chaos', 2), ('come', 1), ('year', 1), ('chaotic', 1), ('divisive', 1), ('toxic', 1), ('exhaust', 1), ('imagine', 1), ('spending', 1), ('well', 1), ('bernie', 1), ('sander', 1), ('versus', 1), ('donald', 1), ('trump', 1), ('think', 1), ('and', 1), ('meanwhile', 1), ('folk', 1), ('home', 1), ('south', 2), ('carolina', 1), ('bend', 1), ('try', 1), ('figure', 1), ('mean', 1), ('because', 1), ('progressive', 1), ('majority', 3), ('american', 2), ('want', 2), ('change', 1), ('wage', 1), ('faster', 1), ('health', 1), ('save', 1), ('retirement', 1), ('but', 1), ('able', 1), ('president', 1), ('feel', 1), ('blood', 1), ('pressure', 1), ('little', 1), ('bit', 1), ('instead', 1), ('roof', 1), ('opportunity', 1), ('set', 1), ('tone', 1)]"
17,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Tom Steyer,Bernie Sanders' analysis is right. The difference is I  like his solutions. I  believe that a government takeover of large parts of the economy makes any sense for working people or for families. I think that what we need to do is to present an alternative that includes a vibrant competitive private sector but we all know unchecked capitalism has failed. The answer not for the government to take over the private sector though. The answer is for us to break the corporate stranglehold on our government and have the government work for the people again.,38.0,True,"[('bernie', 1), ('sander', 1), ('analysis', 1), ('the', 3), ('difference', 1), ('solution', 1), ('believe', 1), ('government', 4), ('takeover', 1), ('large', 1), ('part', 1), ('economy', 1), ('make', 1), ('sense', 1), ('work', 2), ('family', 1), ('present', 1), ('alternative', 1), ('include', 1), ('vibrant', 1), ('competitive', 1), ('private', 2), ('sector', 2), ('unchecked', 1), ('capitalism', 1), ('fail', 1), ('though', 1), ('corporate', 1), ('stranglehold', 1)]"
19,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Tom Steyer,Well let me just finish because we need to have an alternative to Donald Trump.  talking about doubling the minimum wage cutting taxes by 10% for everybody who makes less than $250000 and creating over four and a half million good paying union jobs. Donald Trump stinks. He incompetent. As a steward of the American economy we have to show that we can create a growing prosperous economy   that works for American working people.,27.0,True,"[('well', 1), ('finish', 1), ('alternative', 1), ('donald', 2), ('trump', 2), ('talk', 1), ('double', 1), ('minimum', 1), ('wage', 1), ('cut', 1), ('tax', 1), ('everybody', 1), ('make', 1), ('less', 1), ('create', 1), ('half', 1), ('million', 1), ('pay', 1), ('union', 1), ('job', 1), ('stink', 1), ('incompetent', 1), ('steward', 1), ('american', 2), ('economy', 2), ('grow', 1), ('prosperous', 1), ('work', 2)]"
21,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,We talk about progressive let talk about being progressive. Walking distance here is Mother Emanuel Church. Nine people shot dead by a white supremacist. Bernie voted five times against the Brady Bill and monitored a waiting period  No let me finish. A waiting period of 12 hours.  not saying  responsible for the nine deaths but that man would not have been able to get that weapon with the waiting period had been what I suggest until you are cleared. In addition to that being progressive he thought Barack Obama he wanted a primary. He said we should primary Barack Obama someone should. And in fact the president was weak and our administration was in fact not up to it. Look folks let talk about progressive. Progressive is getting things done. And  what we got done. We got a lot done.,55.0,True,"[('progressive', 5), ('walk', 1), ('distance', 1), ('mother', 1), ('emanuel', 1), ('church', 1), ('nine', 2), ('shot', 1), ('dead', 1), ('white', 1), ('supremacist', 1), ('bernie', 1), ('vote', 1), ('five', 1), ('time', 1), ('brady', 1), ('bill', 1), ('monitor', 1), ('wait', 3), ('period', 3), ('finish', 1), ('hour', 1), ('say', 2), ('responsible', 1), ('death', 1), ('man', 1), ('able', 1), ('weapon', 1), ('suggest', 1), ('clear', 1), ('addition', 1), ('thought', 1), ('barack', 2), ('obama', 2), ('want', 1), ('primary', 2), ('and', 2), ('weak', 1), ('administration', 1), ('look', 1), ('folk', 1), ('get', 3), ('thing', 1), ('do', 3)]"
23,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,Pete mentioned   hearing my name mentioned a little bit tonight. I wonder why and maybe Pete mentions what the American people want. I will tell you Pete what the American people want and Joe what the American people want they  want candidates to be running to billionaires for huge amounts of funding.,19.0,True,"[('pete', 3), ('mention', 3), ('hearing', 1), ('name', 1), ('little', 1), ('bit', 1), ('wonder', 1), ('maybe', 1), ('american', 3), ('joe', 1), ('candidate', 1), ('run', 1), ('billionaire', 1), ('huge', 1), ('amount', 1), ('funding', 1)]"
25,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,Pete has gotten funding   from 50 billionaires. Joe I think has gotten a little bit more. What the American people want by the way and a lot of the issues  be discussing tonight are issues I raised four years ago. Raising the minimum wage to a living wage 15 bucks an hour making public colleges and universities tuition free and finally doing what every other major country on Earth does guaranteeing healthcare to all people as a human right to a Medicare For All single payer system  .,37.0,True,"[('pete', 1), ('gotten', 2), ('funding', 1), ('billionaire', 1), ('joe', 1), ('little', 1), ('bit', 1), ('what', 1), ('american', 1), ('issue', 2), ('discuss', 1), ('raise', 2), ('year', 1), ('minimum', 1), ('wage', 2), ('living', 1), ('buck', 1), ('hour', 1), ('make', 1), ('public', 1), ('college', 1), ('university', 1), ('tuition', 1), ('free', 1), ('finally', 1), ('major', 1), ('earth', 1), ('guarantee', 1), ('healthcare', 1), ('human', 1), ('medicare', 1), ('for', 1), ('all', 1), ('payer', 1), ('system', 1)]"
26,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,I  allow this to stand because  just not true. Senator Sanders has got people believing   something that is untrue about my campaign. The idea that most of my campaign is funded by billionaires-,9.0,True,"[('allow', 1), ('true', 1), ('senator', 1), ('sander', 1), ('get', 1), ('believe', 1), ('untrue', 1), ('campaign', 2), ('the', 1), ('idea', 1), ('fund', 1), ('billionaire', 1)]"
28,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,50 people. All right in Charleston alone just in Charleston over 2000 people have contributed to my campaign. That means the dollars that have come to my campaign just from Charleston is more than the dollars that have come from the 50 people that you mentioned. Grassroots contributions are the lifeblood of my campaign. In fact I  miss the opportunity. If  watching right now and you support my campaign go to peteforamerica.com and chip in. And if  watching right now and  a billionaire I will raise your taxes. But if  like to defeat Donald Trump please go to peteforamerica.com and donate the legal maximum of $2800 if  a billionaire.,41.0,True,"[('all', 1), ('charleston', 3), ('alone', 1), ('contribute', 1), ('campaign', 4), ('that', 1), ('mean', 1), ('dollar', 2), ('mention', 1), ('grassroots', 1), ('contribution', 1), ('lifeblood', 1), ('miss', 1), ('opportunity', 1), ('watch', 2), ('support', 1), ('peteforamericacom', 2), ('chip', 1), ('and', 1), ('billionaire', 2), ('raise', 1), ('tax', 1), ('but', 1), ('defeat', 1), ('donald', 1), ('trump', 1), ('please', 1), ('donate', 1), ('legal', 1), ('maximum', 1)]"
29,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,All right Mayor Buttigieg. Vice President Biden I want to bring us to another topic.  in South Carolina. It the first primary with a significant black voting population. Your numbers appear to be slipping with black voters and  wondering if you could respond about why that is happening to you at this particular time.,18.0,False,"[('all', 1), ('mayor', 1), ('buttigieg', 1), ('vice', 1), ('president', 1), ('biden', 1), ('another', 1), ('topic', 1), ('south', 1), ('carolina', 1), ('primary', 1), ('significant', 1), ('black', 2), ('voting', 1), ('population', 1), ('your', 1), ('number', 1), ('appear', 1), ('slip', 1), ('voter', 1), ('wonder', 1), ('respond', 1), ('happen', 1), ('particular', 1)]"
30,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,Well first of all the latest poll I saw my numbers  still 15 points ahead. The latest poll.,6.0,True,"[('well', 1), ('latest', 2), ('poll', 2), ('saw', 1), ('number', 1), ('point', 1), ('ahead', 1), ('the', 1)]"
33,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,But Senator Sanders is in striking distance of you. You are within the margin of error in this state.,5.0,False,"[('but', 1), ('senator', 1), ('sander', 1), ('strike', 1), ('distance', 1), ('you', 1), ('within', 1), ('margin', 1), ('error', 1), ('state', 1)]"
34,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Joe Biden,Well it depends on which  Look  earned the vote.  worked like the devil to earn the vote of the African American community not just here but across the country.  been coming here for years and years creating jobs here making sure that the port for example that employs one in 11 people we put $500 million in our administration just into this county.  created jobs for people. The people know me. My entire career has been wrapped up in dealing with civil rights and civil liberties. I  expect anything. I plan to earn the vote.  here to ask  . But folks I intend to win South Carolina and I will win the African American vote here in South Carolina.,44.0,True,"[('well', 1), ('depends', 1), ('look', 1), ('earn', 3), ('vote', 4), ('work', 1), ('devil', 1), ('african', 2), ('american', 2), ('community', 1), ('come', 1), ('year', 2), ('create', 2), ('job', 2), ('make', 1), ('port', 1), ('example', 1), ('employ', 1), ('million', 1), ('administration', 1), ('county', 1), ('the', 1), ('entire', 1), ('career', 1), ('wrap', 1), ('deal', 1), ('civil', 2), ('right', 1), ('liberty', 1), ('expect', 1), ('anything', 1), ('plan', 1), ('but', 1), ('folk', 1), ('intend', 1), ('south', 2), ('carolina', 2)]"
35,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,Mr. Biden will you continue if you do not win South Carolina. You have said that South Carolina will determine the outcome of this presidential race. If you  win South Carolina will you continue?,11.0,False,"[('mr', 1), ('biden', 1), ('south', 3), ('carolina', 3), ('you', 1), ('say', 1), ('determine', 1), ('outcome', 1), ('presidential', 1), ('race', 1)]"
37,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,All right sir. Mayor Bloomberg  like to bring you in this conversation. I want to ask you about a question that impacts the black and brown community.  apologized for stop-and-frisk repeatedly. What exactly are you apologizing for?,13.0,False,"[('all', 1), ('sir', 1), ('mayor', 1), ('bloomberg', 1), ('conversation', 1), ('impact', 1), ('black', 1), ('brown', 1), ('community', 1), ('apologize', 2), ('stopandfrisk', 1), ('repeatedly', 1), ('what', 1), ('exactly', 1)]"
38,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,We let it get out of control. And when I realized that I cut it back by 95%. And  apologized and asked for forgiveness  met with black leaders to try to get an understanding of-,12.0,True,"[('control', 1), ('and', 2), ('realize', 1), ('cut', 1), ('apologize', 1), ('ask', 1), ('forgiveness', 1), ('met', 1), ('black', 1), ('leader', 1), ('understand', 1), ('of', 1)]"
39,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,   met with Black leaders to try to get an understanding of how I can better position myself and what I should have done and what I should do next time. But let me tell you I have been working very hard.  improved the school system for Black and Brown students in New York City.  increased the jobs that are available to them.  increased the housing  available to them. We have programs like the-,21.0,True,"[('met', 1), ('black', 2), ('leader', 1), ('understand', 1), ('well', 1), ('position', 1), ('do', 1), ('but', 1), ('work', 1), ('hard', 1), ('improve', 1), ('school', 1), ('system', 1), ('brown', 1), ('student', 1), ('new', 1), ('york', 1), ('city', 1), ('increase', 2), ('job', 1), ('available', 2), ('housing', 1), ('program', 1), ('the', 1)]"
40,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,But what more can you do about this issue Mr. Mayor to put people fears and skepticism to rest?,3.0,False,"[('but', 1), ('mr', 1), ('mayor', 1), ('fear', 1), ('skepticism', 1), ('rest', 1)]"
43,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,No. Well  because  in their interest to promote that. But if you talk to the people in New York City I have over 100 Black elected officials that have endorsed me. A lot of them are in the audience tonight. And  earned the respect of people in New York City. I was the mayor of the largest most populous city in the United States for 12 years and people will tell you  a lot better city today. It is safer for everybody. The school system is better. The budget under control.  done the things that people need in New York City for all ethnicities.,36.0,True,"[('well', 3), ('interest', 1), ('promote', 1), ('but', 1), ('new', 3), ('york', 3), ('city', 5), ('black', 1), ('elect', 1), ('official', 1), ('endorse', 1), ('audience', 1), ('and', 1), ('earn', 1), ('respect', 1), ('largest', 1), ('populous', 1), ('united', 1), ('state', 1), ('year', 1), ('safer', 1), ('everybody', 1), ('the', 2), ('school', 1), ('system', 1), ('budget', 1), ('control', 1), ('do', 1), ('thing', 1), ('ethnicity', 1)]"
44,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,Mayor Buttigieg mayor to mayor  certainly had your issues with the Black community as well. Do you think the New York City implementation of stop and frisk was racist?,13.0,False,"[('mayor', 1), ('buttigieg', 1), ('certainly', 1), ('issue', 1), ('black', 1), ('community', 1), ('new', 1), ('york', 1), ('city', 1), ('implementation', 1), ('frisk', 1), ('racist', 1)]"
45,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,Yes. In effect it was. Because it was about profiling people based on their race. And the mayor even said that they disproportionately stopped White people too often and minorities too little. And  not here to score points. I come at this with a great deal of humility because we have had a lot of issues especially when it comes to racial justice and policing in my own community.,24.0,True,"[('yes', 1), ('effect', 1), ('because', 1), ('profile', 1), ('base', 1), ('race', 1), ('and', 2), ('say', 1), ('disproportionately', 1), ('stop', 1), ('white', 1), ('often', 1), ('minority', 1), ('little', 1), ('score', 1), ('point', 1), ('deal', 1), ('humility', 1), ('issue', 1), ('especially', 1), ('come', 1), ('racial', 1), ('justice', 1), ('police', 1), ('community', 1)]"
46,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,And I come to this with some humility because  conscious of the fact that there are seven White people on this stage talking about racial justice. None of us have the experience the lived experience of for example walking down the street or in a mall and feeling eyes on us regarding us as dangerous without knowing the first thing about us just because the color of our skin. None of us have the experience that Black women have had that drives that maternal mortality gap that we are all rightly horrified by of going into a doctor and being less likely to have your description of being in pain believed because of your race.,39.0,True,"[('and', 1), ('humility', 1), ('conscious', 1), ('seven', 1), ('white', 1), ('talk', 1), ('racial', 1), ('justice', 1), ('none', 2), ('experience', 3), ('live', 1), ('example', 1), ('walk', 1), ('street', 1), ('mall', 1), ('feel', 1), ('eye', 1), ('regard', 1), ('dangerous', 1), ('know', 1), ('color', 1), ('skin', 1), ('black', 1), ('woman', 1), ('drive', 1), ('maternal', 1), ('mortality', 1), ('gap', 1), ('rightly', 1), ('horrify', 1), ('go', 1), ('doctor', 1), ('less', 1), ('likely', 1), ('description', 1), ('pain', 1), ('believe', 1), ('race', 1)]"
52,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,Wait a second. I know that if I were Black my success would have been a lot harder to achieve. And I know a lot of Black people that if they were White it  been a lot easier for them. That just a fact and  got to do something about it than rather just demagogue about it.,15.0,True,"[('wait', 1), ('black', 2), ('success', 1), ('harder', 1), ('achieve', 1), ('and', 1), ('white', 1), ('easier', 1), ('that', 1), ('get', 1), ('rather', 1), ('demagogue', 1)]"
53,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah ODonnell,Senator Klobuchar was the way that the mayor implemented stop and frisk racist?,5.0,False,"[('senator', 1), ('klobuchar', 1), ('implement', 1), ('frisk', 1), ('racist', 1)]"
54,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,Yes and I think that what we need to do instead of just reviewing everything from the past is talk about where  going to go forward. Martin Luther King once said that we are all tied in a single garment of destiny and that what affects one of us directly affects all of us indirectly. So when there is racism in the criminal justice system then we need to fix it. And to me that means sentencing reform like the First Step Act and extending that to the states with the Second Step Act.,33.0,True,"[('yes', 1), ('instead', 1), ('review', 1), ('everything', 1), ('past', 1), ('go', 1), ('martin', 1), ('luther', 1), ('king', 1), ('say', 1), ('tie', 1), ('garment', 1), ('destiny', 1), ('affect', 2), ('directly', 1), ('indirectly', 1), ('racism', 1), ('criminal', 1), ('justice', 1), ('system', 1), ('fix', 1), ('and', 1), ('mean', 1), ('sentence', 1), ('reform', 1), ('first', 1), ('step', 2), ('act', 2), ('extend', 1), ('state', 1), ('second', 1)]"
55,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,It means equal opportunity because if we  pass Representative Clyburn bill out of South Carolina here to invest in impoverished communities  never going to get to that single garment of destiny.,14.0,True,"[('mean', 1), ('equal', 1), ('opportunity', 1), ('pas', 1), ('representative', 1), ('clyburn', 1), ('bill', 1), ('south', 1), ('carolina', 1), ('invest', 1), ('impoverish', 1), ('community', 1), ('go', 1), ('garment', 1), ('destiny', 1)]"
56,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Amy Klobuchar,And we also need to do something about child care about making sure we increase the minimum wage. And then finally voting. While we are all sitting here debating Wisconsin has kicked hundreds of thousands-,13.0,True,"[('and', 2), ('child', 1), ('care', 1), ('make', 1), ('increase', 1), ('minimum', 1), ('wage', 1), ('finally', 1), ('voting', 1), ('while', 1), ('sit', 1), ('debate', 1), ('wisconsin', 1), ('kick', 1), ('hundred', 1), ('thousand', 1)]"
64,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,Senator Warren  coming to you. I want to direct this question to you because Mayor Bloomberg has said he got in this race late because he  believe that any of you on stage can beat Donald Trump. You said Mayor Bloomberg is not the safest candidate he is the riskiest candidate. What did you mean by that?,18.0,False,"[('senator', 1), ('warren', 1), ('come', 1), ('direct', 1), ('mayor', 2), ('bloomberg', 2), ('say', 2), ('get', 1), ('race', 1), ('late', 1), ('believe', 1), ('donald', 1), ('trump', 1), ('you', 1), ('safest', 1), ('candidate', 2), ('riskiest', 1), ('what', 1)]"
